Time (s),Current (A),Voltage (V),Torque (Nm),RPM
0.3332666,0.72,24.89,0.5,51
0.3665777,0.72,24.89,0.5,51
0.3999,0.72,24.89,0.5,51
0.4332222,0.720000000000001,24.89,0.5,51
0.4665555,0.720000000000001,24.89,0.5,51
0.4998666,0.720000000000001,24.89,0.5,51
0.5331888,0.720000000000001,24.89,0.5,51
0.5665222,0.720000000000001,24.89,0.5,51
0.5998444,0.720000000000001,24.89,0.5,51
0.6331777,0.720000000000001,24.89,0.5,51
0.6664888,0.720000000000001,24.89,0.5,51
0.6998222,0.720000000000001,24.89,0.5,51
0.7332222,0.720000000000001,24.89,0.5,51
0.7664666,0.720000000000001,24.89,0.5,51
0.8000444,0.720000000000001,24.89,0.5,51
0.8331666,0.720000000000001,24.89,0.5,51
0.8664333,0.720000000000001,24.89,0.5,51
0.8997777,0.720000000000001,24.89,0.5,51
0.9331,0.720000000000001,24.89,0.5,51
0.9664111,0.720000000000001,24.89,0.4,51
0.9998777,0.720000000000001,24.89,0.4,51
1.0330888,0.720000000000001,24.89,0.4,51
1.0663888,0.720000000000001,24.89,0.4,51
1.0997111,0.720000000000001,24.89,0.4,51
1.1330666,0.720000000000001,24.89,0.4,51
1.1663777,0.720000000000001,24.89,0.4,51
1.1997,0.720000000000001,24.89,0.4,51
1.2330555,0.720000000000001,24.89,0.4,51
1.2663666,0.720000000000001,24.89,0.4,51
1.2996666,0.720000000000001,24.98,0.4,51
1.3329888,0.720000000000001,24.98,0.4,51
1.3663666,0.710000000000001,24.98,0.4,51
1.3996555,0.710000000000001,24.98,0.4,51
1.4329555,0.710000000000001,24.98,0.5,51
1.4663222,0.710000000000001,24.98,0.5,51
1.4996111,0.710000000000001,24.98,0.5,51
1.5329333,0.710000000000001,24.98,0.5,51
1.5662666,0.710000000000001,24.98,0.5,51
1.5995888,0.710000000000001,24.98,0.5,51
1.6329222,0.710000000000001,24.98,0.5,51
1.6662444,0.710000000000001,24.98,0.5,51
1.6995666,0.710000000000001,24.98,0.5,51
1.7329333,0.710000000000001,24.9,0.5,51
1.7662222,0.710000000000001,24.9,0.5,51
1.7995555,0.73,24.8,0.5,51
1.8328777,0.73,24.87,0.5,51
1.8662111,0.73,24.87,0.5,51
1.8995333,0.73,24.87,0.5,51
1.9328666,0.73,24.87,0.5,51
1.9661666,0.73,24.87,0.5,51
1.9994888,0.73,24.87,0.5,51
2.0328222,0.73,24.87,0.5,51
2.0661333,0.73,24.87,0.5,51
2.0994555,0.73,24.87,0.5,51
2.1328,0.73,24.87,0.5,51
2.1661111,0.73,24.87,0.5,51
2.1994333,0.73,24.8,0.5,51
2.2327666,0.699999999999999,24.89,0.5,51
2.2660888,0.710000000000001,24.89,0.5,51
2.2994111,0.710000000000001,24.89,0.5,51
2.3328,0.710000000000001,24.89,0.5,51
2.3660888,0.710000000000001,24.89,0.5,51
2.3994,0.710000000000001,24.89,0.5,50
2.4327333,0.710000000000001,24.89,0.5,50
2.4660555,0.710000000000001,24.89,0.5,50
2.4993777,0.710000000000001,24.89,0.5,50
2.5327,0.710000000000001,24.89,0.5,50
2.5660222,0.710000000000001,24.89,0.5,50
2.5993222,0.710000000000001,24.8,0.5,50
2.6326555,0.710000000000001,24.8,0.5,50
2.6659777,0.71,24.87,0.5,50
2.6993222,0.69,24.87,0.5,50
2.7326222,0.69,24.87,0.5,50
2.7659666,0.69,24.87,0.5,50
2.7994222,0.69,24.87,0.5,50
2.8326111,0.69,24.87,0.5,50
2.8659555,0.69,24.87,0.5,50
2.8992666,0.69,24.87,0.5,50
2.9326,0.69,24.87,0.5,50
2.9659444,0.69,24.87,0.5,50
2.9992888,0.69,24.87,0.5,50
3.0325555,0.69,24.87,0.5,50
3.0659,0.69,24.87,0.4,50
3.0992111,0.69,24.87,0.4,50
3.1325333,0.69,24.87,0.5,50
3.1658888,0.69,24.8,0.4,50
3.1991888,0.83,24.89,0.4,50
3.2325111,0.73,24.89,0.4,50
3.2658444,0.73,24.89,0.4,50
3.2991555,0.73,24.89,0.4,50
3.3324888,0.73,24.89,0.4,50
3.3659222,0.73,24.89,0.4,50
3.3991444,0.73,24.89,0.4,50
3.4324666,0.73,24.89,0.4,50
3.4657888,0.73,24.89,0.4,50
3.4991222,0.73,24.89,0.4,50
3.5324222,0.73,24.89,0.4,50
3.5657888,0.73,24.89,0.4,50
3.5990777,0.73,24.89,0.5,50
3.6324222,0.720000000000001,24.89,0.8,50
3.6657666,0.720000000000001,24.89,0.4,50
3.6990777,0.720000000000001,24.89,0.4,50
3.7324,0.720000000000001,24.89,0.4,50
3.7657111,0.720000000000001,24.89,0.4,50
3.7990333,0.720000000000001,24.89,0.5,50
3.8323444,0.720000000000001,24.89,0.5,50
3.8656666,0.720000000000001,24.89,0.5,50
3.8990111,0.720000000000001,24.89,0.5,50
3.9323444,0.720000000000001,24.89,0.5,50
3.9656777,0.720000000000001,24.89,0.5,50
3.9989888,0.720000000000001,24.88,0.5,50
4.0323111,0.720000000000001,24.87,0.5,50
4.0656555,0.720000000000001,24.87,0.5,50
4.0989555,0.710000000000001,24.87,0.5,50
4.1322777,0.710000000000001,24.87,0.5,50
4.1656,0.710000000000001,24.87,0.5,50
4.1989444,0.710000000000001,24.87,0.5,50
4.2322777,0.710000000000001,24.87,0.5,50
4.2656222,0.710000000000001,24.87,0.5,50
4.2989444,0.710000000000001,24.87,0.5,50
4.3322444,0.710000000000001,24.87,0.5,50
4.3655666,0.710000000000001,24.87,0.5,50
4.3988888,0.710000000000001,24.87,0.5,50
4.4322111,0.710000000000001,24.87,0.5,50
4.4655666,0.710000000000001,24.87,0.5,50
4.4988666,0.710000000000001,24.87,0.5,50
4.5321777,0.710000000000001,24.87,0.5,50
4.5655444,0.710000000000001,24.87,0.4,50
4.5988333,0.710000000000001,24.87,0.5,50
4.6321777,0.710000000000001,24.87,0.4,50
4.6654888,0.710000000000001,24.87,0.4,50
4.6988777,0.710000000000001,24.87,0.4,50
4.7321222,0.710000000000001,24.87,0.4,50
4.7654666,0.710000000000001,24.87,0.4,50
4.7987777,0.710000000000001,24.87,0.4,50
4.8321111,0.710000000000001,24.87,0.4,50
4.8654333,0.710000000000001,24.87,0.4,50
4.8987555,0.710000000000001,24.87,0.4,50
4.9320888,0.710000000000001,24.87,0.5,50
4.9655333,0.710000000000001,24.87,0.5,50
4.9987555,0.710000000000001,24.87,0.5,50
5.0320555,0.710000000000001,24.87,0.5,50
5.0653888,0.710000000000001,24.87,0.5,50
5.0988888,0.710000000000001,24.87,0.5,50
5.1320333,0.710000000000001,24.87,0.5,50
5.1653555,0.710000000000001,24.87,0.5,50
5.1986777,0.710000000000001,24.87,0.5,50
5.232,0.710000000000001,24.87,0.5,50
5.2653444,0.710000000000001,24.87,0.5,50
5.2986555,0.710000000000001,24.87,0.5,50
5.3319777,0.710000000000001,24.87,0.5,50
5.3653222,0.710000000000001,24.87,0.5,50
5.3986222,0.710000000000001,24.87,0.5,51
5.4319444,0.710000000000001,24.87,0.5,51
5.4652777,0.710000000000001,24.87,0.5,51
5.4986111,0.710000000000001,24.87,0.5,51
5.5319555,0.710000000000001,24.87,0.4,51
